                           time                    temp                     den                    ener                    sdot                   sneut                   s-snu                      ye                   1-sum
    109  5.3203079389156660E-01  1.7548241574752653E+08  7.7401389149448061E+06  1.382835E+17 -6.743035E-06  0.000000E+00 -6.743035E-06  5.000000E-01  0.000000E+00  2.746983E-07 -4.073808E-02
    110  5.3277175073446292E-01  1.7783515740256214E+08  7.7727125869561723E+06  1.382835E+17 -7.794897E-06  0.000000E+00 -7.794897E-06  5.000000E-01  0.000000E+00  3.038251E-07 -3.897744E-02
    111  5.3425366442025557E-01  2.0044568289578119E+08  7.8989366380408769E+06  1.382835E+17 -1.142586E-05  0.000000E+00 -1.142586E-05  5.000000E-01  0.000000E+00  5.810972E-07 -5.085805E-02
    112  5.3455004715741405E-01  2.2353373143069279E+08  7.9575677083006753E+06  1.382835E+17 -1.088189E-05  0.000000E+00 -1.088189E-05  5.000000E-01  0.000000E+00  1.007275E-06 -9.256437E-02
    113  5.3514281263173114E-01  2.7756060480479062E+08  8.0877998098001545E+06  1.382835E+17 -5.113894E-06  0.000000E+00 -5.113894E-06  5.000000E-01  0.000000E+00  3.509748E-06 -6.863161E-01
    114  5.3632834358036519E-01  6.4660078431321573E+08  8.8107343561379015E+06  1.382835E+17  1.047737E+07  0.000000E+00  1.047737E+07  5.000000E-01 -6.661338E-16 -2.549736E+02 -2.433566E-05
    115  5.3632834393110540E-01  6.4660095353232884E+08  8.8107346881304942E+06  1.382835E+17  1.054196E+07  0.000000E+00  1.054196E+07  5.000000E-01 -6.661338E-16 -3.036170E+03 -2.880081E-04
    116  5.3632834463258583E-01  6.4660129197055495E+08  8.8107353521156777E+06  1.382835E+17  1.066695E+07  0.000000E+00  1.066695E+07  5.000000E-01 -6.661338E-16 -8.417974E+03 -7.891641E-04
    117  5.3632834603554669E-01  6.4660196884700727E+08  8.8107366800860465E+06  1.382835E+17  1.090101E+07  0.000000E+00  1.090101E+07  5.000000E-01 -6.661338E-16 -1.849529E+04 -1.696658E-03
    118  5.3632834884146841E-01  6.4660332259991169E+08  8.8107393360267822E+06  1.382835E+17  1.131164E+07  0.000000E+00  1.131164E+07  5.000000E-01 -6.661338E-16 -3.617074E+04 -3.197657E-03
    119  5.3632835445331184E-01  6.4660603010572076E+08  8.8107446479082555E+06  1.382835E+17  1.194489E+07  0.000000E+00  1.194489E+07  5.000000E-01 -6.661338E-16 -6.341640E+04 -5.309081E-03
    120  5.3632836567699871E-01  6.4661144511733878E+08  8.8107552716712020E+06  1.382835E+17  1.270461E+07  0.000000E+00  1.270461E+07  5.000000E-01 -6.661338E-16 -9.605823E+04 -7.560895E-03
    121  5.3632838812437233E-01  6.4662227514052129E+08  8.8107765191969890E+06  1.382835E+17  1.327085E+07  0.000000E+00  1.327085E+07  5.000000E-01 -6.661338E-16 -1.202453E+05 -9.060859E-03
    122  5.3632843301911959E-01  6.4664393518688619E+08  8.8108190142485630E+06  1.382835E+17  1.345265E+07  0.000000E+00  1.345265E+07  5.000000E-01 -6.661338E-16 -1.276311E+05 -9.487427E-03
    123  5.3632852280861409E-01  6.4668725527961600E+08  8.8109040043517109E+06  1.382835E+17  1.348809E+07  0.000000E+00  1.348809E+07  5.000000E-01 -6.661338E-16 -1.282519E+05 -9.508528E-03
    124  5.3632870238760322E-01  6.4677389546512926E+08  8.8110739845581129E+06  1.382835E+17  1.354264E+07  0.000000E+00  1.354264E+07  5.000000E-01 -6.661338E-16 -1.287847E+05 -9.509571E-03
    125  5.3632906154558135E-01  6.4694717583610225E+08  8.8114139449708108E+06  1.382835E+17  1.365240E+07  0.000000E+00  1.365240E+07  5.000000E-01 -6.661338E-16 -1.298576E+05 -9.511702E-03
    126  5.3632977986153763E-01  6.4729373657804811E+08  8.8120938657962084E+06  1.382835E+17  1.387455E+07  0.000000E+00  1.387455E+07  5.000000E-01 -6.661338E-16 -1.320324E+05 -9.516153E-03
    127  5.3633121649345017E-01  6.4798685806193995E+08  8.8134537074470036E+06  1.382835E+17  1.432954E+07  0.000000E+00  1.432954E+07  5.000000E-01 -8.881784E-16 -1.364991E+05 -9.525712E-03
